#{"t_start": 1780877043.7068098, "env_id": "None"}
r,l,t
-2006.5,201,2.626077
-2428.5,201,3.178466
-3006.5,201,3.78037
-2311.5,201,4.392987
-2460.0,201,5.125947
-3075.0,201,5.851248
-3124.5,201,6.492304
-3015.5,201,7.089614
-2997.0,201,7.605152
-3246.0,201,8.176402
-2907.0,201,8.754549
-2609.5,201,9.319794
-2631.0,201,9.845388
-2909.5,201,10.460943
-3164.5,201,11.089555
-2677.0,201,11.727553
-3192.0,201,12.370085
-2947.0,201,12.949006
-2369.5,201,13.53187
-2783.5,201,14.083486
-2298.0,201,14.630157
-2035.0,201,15.178168
-2899.0,201,15.811771
-2361.5,201,16.434732
-2424.5,201,17.085222
-2738.0,201,17.712234
-2418.5,201,18.297923
-1998.5,201,18.971137
-2657.5,201,19.616795
-2620.5,201,20.235235
-3075.5,201,20.807704
-2321.0,201,21.374308
-2123.5,201,21.977334
-2195.5,201,22.600665
-1746.5,201,23.235997
-2377.0,201,23.930539
-1738.5,201,24.55523
-2006.0,201,25.209573
-2162.0,201,25.821163
-2348.0,201,26.428454
-1534.5,201,27.078252
-2287.0,201,27.779953
-1576.5,201,28.444992
-2462.5,201,29.172361
-1732.0,201,29.871042
-1756.0,201,30.626119
-2845.0,201,31.271149
-2169.5,201,31.896736
-1223.5,201,32.510944
-2082.5,201,33.176774
-2185.5,201,33.793646
-2220.5,201,34.406472
-2086.5,201,35.049979
-1579.0,201,35.694902
-1898.0,201,36.316334
-2050.0,201,36.925079
-1030.5,201,37.603877
-2186.0,201,38.195605
-604.5,201,38.79267
-1711.0,201,39.428999
-933.5,201,40.020893
-1473.5,201,40.600918
-1376.0,201,41.269482
-1790.0,201,42.009265
-2282.5,201,42.720993
-746.5,201,43.342776
-1240.0,201,43.935001
-1059.0,201,44.601516
-1491.0,201,45.205085
-582.5,201,45.807119
-1842.5,201,46.443091
-1066.5,201,47.054166
-467.5,201,47.698139
-736.0,201,48.351625
-864.5,201,49.021887
-916.5,201,49.627308
-1647.0,201,50.203302
-1159.0,201,50.818734
-413.0,201,51.419945
346.0,201,52.038253
-854.0,201,52.650177
-921.0,201,53.310333
-873.5,201,53.951972
-381.5,201,54.614883
-711.5,201,55.253648
-615.5,201,55.869557
-945.5,201,56.480285
-208.5,201,57.11636
-654.0,201,57.743071
-145.5,201,58.355989
-534.5,201,58.940757
-71.5,201,59.572329
119.0,201,60.255287
-261.5,201,60.954649
-256.5,201,61.666183
50.0,201,62.362944
551.0,201,63.011924
508.5,201,63.694984
105.5,201,64.329002
440.5,201,65.002283
306.0,201,65.67648
592.5,201,66.407393
917.5,201,67.19259
-117.0,201,67.885785
-797.0,201,68.507944
163.0,201,69.125744
183.5,201,69.718491
604.0,201,70.34075
725.5,201,70.912796
791.5,201,71.49474
1297.5,201,72.114483
609.0,201,72.812454
851.0,201,73.416753
1084.5,201,74.025154
1295.0,201,74.639654
1156.0,201,75.266448
232.0,201,75.873785
554.5,201,76.523922
-625.0,201,77.12454
1725.5,201,77.827182
1737.5,201,78.495919
1681.0,201,79.187137
770.0,201,79.972216
492.5,201,80.669891
1325.5,201,81.212356
583.5,201,81.767615
2701.5,201,82.349453
2178.0,201,82.876727
1155.0,201,83.450101
254.0,201,83.990859
1951.5,201,84.631671
658.0,201,85.256566
2663.5,201,85.924691
2034.5,201,86.523167
2208.0,201,87.05938
2331.0,201,87.693747
2317.0,201,88.369718
2503.0,201,89.054237
3287.5,201,89.663066
2760.5,201,90.277408
2267.0,201,90.913774
2430.0,201,91.628022
1888.5,201,92.297667
1759.5,201,92.873155
2795.5,201,93.473296
1513.0,201,94.112464
2188.0,201,94.734335
2512.0,201,95.332319
2396.5,201,95.972938
3233.0,201,96.580372
2029.5,201,97.300603
2391.5,201,97.963409
3714.0,201,98.594104
2866.5,201,99.282668
1971.5,201,99.947396
2501.5,201,100.606787
3702.0,201,101.26299
